MSA,Metric,Total,Occupied,Vacant
"Kennewick-Richland, WA",Margin of Error,272,"1,654","1,582"
"Killeen-Temple, TX",Estimate,"195,482","179,677","15,805"
"Killeen-Temple, TX",Margin of Error,"1,031","2,525","2,328"
"Kingsport-Bristol, TN-VA",Estimate,"149,105","132,965","16,140"
"Kingsport-Bristol, TN-VA",Margin of Error,"1,083","2,891","2,624"
"Kingston, NY",Estimate,"86,478","75,187","11,291"
"Kingston, NY",Margin of Error,228,"1,857","1,873"
"Knoxville, TN",Estimate,"405,587","369,673","35,914"
"Knoxville, TN",Margin of Error,"1,382","2,967","3,060"
"Kokomo, IN",Estimate,"39,912","35,752","4,160"
"Kokomo, IN",Margin of Error,24,"1,239","1,240"
"La Crosse-Onalaska, WI-MN",Estimate,"62,536","59,350","3,186"
"La Crosse-Onalaska, WI-MN",Margin of Error,41,"1,133","1,129"
"Lafayette, LA",Estimate,"219,168","194,293","24,875"
"Lafayette, LA",Margin of Error,129,"3,023","3,032"
"Lafayette-West Lafayette, IN",Estimate,"97,472","91,610","5,862"
"Lafayette-West Lafayette, IN",Margin of Error,"1,153","1,835","1,566"
"Lake Charles, LA",Estimate,"97,847","79,885","17,962"
"Lake Charles, LA",Margin of Error,720,"2,769","2,661"
"Lake Havasu City-Kingman, AZ",Estimate,"120,849","99,512","21,337"
"Lake Havasu City-Kingman, AZ",Margin of Error,132,"2,531","2,533"
"Lakeland-Winter Haven, FL",Estimate,"340,780","291,994","48,786"
"Lakeland-Winter Haven, FL",Margin of Error,234,"4,524","4,565"
"Lancaster, PA",Estimate,"218,987","212,016","6,971"
"Lancaster, PA",Margin of Error,89,"1,604","1,593"
"Lansing-East Lansing, MI",Estimate,"237,692","223,066","14,626"
"Lansing-East Lansing, MI",Margin of Error,374,"2,205","2,177"
"Laredo, TX",Estimate,"88,388","82,519","5,869"
"Laredo, TX",Margin of Error,154,"1,196","1,192"
"Las Cruces, NM",Estimate,"92,715","85,746","6,969"
"Las Cruces, NM",Margin of Error,77,"1,517","1,510"
"Las Vegas-Henderson-Paradise, NV",Estimate,"950,927","857,362","93,565"
"Las Vegas-Henderson-Paradise, NV",Margin of Error,179,"5,981","6,006"
"Lawrence, KS",Estimate,"53,770","50,248","3,522"
"Lawrence, KS",Margin of Error,105,"1,345","1,319"
"Lawton, OK",Estimate,"55,333","47,959","7,374"
"Lawton, OK",Margin of Error,533,886,934
"Lebanon, PA",Estimate,"60,033","55,245","4,788"
"Lebanon, PA",Margin of Error,226,"1,531","1,545"
"Lewiston, ID-WA",Estimate,"29,505","28,080","1,425"
"Lewiston, ID-WA",Margin of Error,913,"1,017",687
"Lewiston-Auburn, ME",Estimate,"50,369","46,233","4,136"
"Lewiston-Auburn, ME",Margin of Error,72,"1,368","1,366"
"Lexington-Fayette, KY",Estimate,"231,268","216,988","14,280"
"Lexington-Fayette, KY",Margin of Error,134,"2,646","2,624"
"Lima, OH",Estimate,"44,870","41,028","3,842"
"Lima, OH",Margin of Error,64,"1,038","1,071"
"Lincoln, NE",Estimate,"146,949","138,815","8,134"
"Lincoln, NE",Margin of Error,684,"1,774","1,690"
"Little Rock-North Little Rock-Conway, AR",Estimate,"344,771","313,550","31,221"
"Little Rock-North Little Rock-Conway, AR",Margin of Error,"1,021","3,938","3,917"
"Logan, UT-ID",Estimate,"52,272","50,421","1,851"
"Logan, UT-ID",Margin of Error,470,963,897
"Longview, TX",Estimate,"122,546","109,049","13,497"
"Longview, TX",Margin of Error,172,"1,962","1,973"
"Longview, WA",Estimate,"46,195","44,049","2,146"
"Longview, WA",Margin of Error,39,805,807
"Los Angeles-Long Beach-Anaheim, CA",Estimate,"4,788,314","4,500,951","287,363"
"Los Angeles-Long Beach-Anaheim, CA",Margin of Error,968,"10,543","10,611"
"Louisville/Jefferson County, KY-IN",Estimate,"569,973","535,884","34,089"
"Louisville/Jefferson County, KY-IN",Margin of Error,"1,144","3,799","3,573"
"Lubbock, TX",Estimate,"145,068","132,085","12,983"
"Lubbock, TX",Margin of Error,902,"2,109","1,993"
"Lynchburg, VA",Estimate,"118,295","102,617","15,678"
